Country,Year,GDP,GDP_Growth,GDP_per_Capita,Inflation,Unemployment,Population
Lesotho,2005,1682343527.49221,3.46612222755311,861.381496414995,5.92284320097511,16.086,1953076.0
Lesotho,2010,2234754241.91918,5.26967078056286,1119.47557793042,5.33711013720971,16.113,1996251.0
Lesotho,2015,2359686724.53829,3.12406678044546,1121.19851342518,10.2030391854904,16.254,2104611.0
Lesotho,2020,2053699870.07191,-8.15595879914267,918.582577421982,6.54820559883913,18.399,2235727.0
Liberia,2000,874000000.0,28.6159342546183,298.485340578945,53.8122567933531,2.231,2928117.0
Liberia,2005,949000000.0,5.28121245309295,287.487333441381,0.490010500603105,2.577,3301015.0
Liberia,2010,1998000000.0,6.09982524004147,492.252808033724,6.51200368905668,2.266,4058890.0
Liberia,2015,3227075700.0,-0.0185649695590939,692.590082351257,0.062713425558087,2.557,4659431.0
Liberia,2020,3176126300.0,-2.98249127649473,616.787867006715,-1.38060188980627,4.109,5149463.0
Madagascar,2000,4629247203.84524,4.45685893956946,280.282905559649,11.5703529669413,5.8,16516338.0
Madagascar,2005,5859269752.61332,4.75584509499119,305.812074924388,18.3638246481935,2.62,19159707.0
Madagascar,2010,9982711338.07029,0.619239744622121,450.009391645726,10.2185410293303,4.28,22183340.0
Madagascar,2015,11323020701.3017,3.13229807490305,445.320069480568,6.5037166915161,1.785,25426702.0
Madagascar,2020,13051441203.9474,-7.13767162064489,450.771615201509,4.31114513583488,3.284,28953556.0
Malawi,2000,2537307580.32808,1.57607762616895,224.22415918428,30.5339536745164,5.048,11315942.0
Malawi,2005,5320409651.47544,3.26872602317066,414.361121984475,10.7412368134121,4.944,12840031.0
Malawi,2010,10128323010.6049,6.87406585416142,683.124694716799,12.12722206117,4.798,14826463.0
Malawi,2015,9219474379.31534,2.80000000003355,539.605363240686,19.814669261198,4.954,17085587.0
Malawi,2020,11769313597.8545,0.793596429787286,602.507478176106,6.21829711958308,5.728,19533888.0
Mali,2000,2961484953.86444,-0.0608349718130512,256.199554978241,-0.619727920385088,1.414,11559290.0
Mali,2005,8009875051.7116,7.50468463500187,591.630393473705,4.73018301188223,1.379,13538647.0
Mali,2010,13196527458.3156,6.92172188561173,827.617660082715,3.12168308887819,1.405,15945198.0
Mali,2015,15583181170.4105,5.97471610121079,838.11986940103,3.91586816835033,1.401,18593022.0
Mali,2020,20698560938.7775,-1.16907500952713,953.242943290974,0.473279685131288,3.528,21713836.0
Mauritania,2000,1779520886.47015,-3.91802585208993,680.911061879778,6.35158672796916,10.033,2613441.0
Mauritania,2005,2936019525.60241,8.56628732009419,998.96583416747,14.5852590982142,9.626,2939059.0
Mauritania,2010,5628878797.98257,2.62022948104543,1659.96369705455,22.3431687773344,10.075,3390965.0
Mauritania,2015,6166863896.68677,5.37633924099251,1554.94897871782,-4.79390858192335,10.108,3965959.0
Mauritania,2020,8260752385.23089,-0.360657384151068,1795.76459566714,6.4408732898183,11.054,4600131.0
Mauritius,2000,4726108622.47661,8.20279174865273,3981.98343249582,3.4099293453387,9.138,1186873.0
Mauritius,2005,6576108447.47531,1.77754302034454,5354.02974260642,3.94809969963141,9.524,1228254.0
Mauritius,2010,10003670690.3497,4.37720322344293,8000.37643182154,1.12641892024499,7.654,1250400.0
Mauritius,2015,12007291045.6489,3.69055690369433,9507.87133656424,1.39953074265865,7.41,1262879.0
